"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"6/12/2019","Auth : Ww Int'l-franchise","Auth : Ww Int'l-franchise","51.00","debit","Gift","Cassie's Reward Card","",""
"6/11/2019","Auth : Paparazzi Llc","Auth : Paparazzi Llc","80.35","debit","Restaurants","Cassie's Reward Card","",""
"6/11/2019","Cox Communications","Auth : Cox Communications Lv","6.51","debit","Television","Ryan's Reward Card","",""
"6/11/2019","Ann Road Animal Hospital","ANN ROAD ANIMAL HOSPITANORTH LAS VEG NV","25.98","debit","Pets","Main Checking","",""
"6/11/2019","SUNRISE FOOD MART","SUNRISE FOOD MART","25.12","debit","Food & Dining","CREDIT CARD","",""
"6/11/2019","Sweet Tomatoes","SWEET TOMATOES #119","15.46","debit","Groceries","CREDIT CARD","",""
"6/10/2019","IKEA","Auth : Ikea Las Vegas","63.26","debit","Furnishings","Cassie's Reward Card","",""
"6/11/2019","IKEA","Ikea Las Vegas Restaur Las Vegas Nv","2.50","debit","Furnishings","Cassie's Reward Card","",""
"6/11/2019","Dollar Tree","Dollartree Las Vegas Nv","14.07","debit","Shopping","Cassie's Reward Card","",""
"6/11/2019","Dairy Queen","Dairy Queen 15435 Las Vegas Nv","8.97","debit","Fast Food","Cassie's Reward Card","",""
"6/11/2019","Dairy Queen","Dairy Queen 15435 Las Vegas Nv","1.72","debit","Fast Food","Cassie's Reward Card","",""
"6/11/2019","Dollar Tree","Dollartree Las Vegas Nv","7.58","debit","Shopping","Cassie's Reward Card","",""
"6/11/2019","payment Lds Church","Web Authorized Pmt Lds Church","446.29","debit","Charity","Main Checking","",""
"6/11/2019","Southwest Gas","Electronic Withdrawal Southwest Gas","18.81","debit","Utilities","Main Checking","",""
"6/11/2019","HP Instant Ink","HP *INSTANT INK","5.40","debit","Printing","CREDIT CARD","",""
"6/10/2019","PayPal","Web Authorized Pmt Paypal","9.99","debit","Shopping","Main Checking","",""
"6/10/2019","Chevron","Chevron 0306646 Fillmore Ut","10.49","debit","Gas & Fuel","Cassie's Reward Card","",""
"6/10/2019","Chevron","Chevron 0072977 Beaver Ut","31.75","debit","Gas & Fuel","Cassie's Reward Card","",""
"6/10/2019","Chevron","Chevron 0381768 Las Vegas Nv","46.72","debit","Gas & Fuel","Cassie's Reward Card","",""
"6/10/2019","Chevron","Chevron 0306646 Fillmore Ut","53.23","debit","Gas & Fuel","Cassie's Reward Card","",""
"6/10/2019","Dairy Queen","Dairy Queen #19426 Beaver Ut","11.99","debit","Fast Food","Cassie's Reward Card","",""
"6/10/2019","Wal-Mart","Wal-mart #3568 West Valley C Ut","52.00","debit","Shopping","Cassie's Reward Card","",""
"6/10/2019","Paparazzi Llc 855-697-2727 Ut","Paparazzi Llc 855-697-2727 Ut","30.75","debit","Misc Expenses","Cassie's Reward Card","",""
"6/10/2019","CVS","Cvs/pharmacy #00082 00 North Las Veg Nv","1.78","debit","Pharmacy","Ryan's Reward Card","",""
"6/07/2019","Cox Communications","Electronic Withdrawal Cox Comm Las","20.97","debit","Television","Main Checking","",""
"6/07/2019","Cox Enterprises","Electronic Deposit Cox Enterprises","3069.78","credit","Income","Main Checking","",""
"6/07/2019","JustFab","Ibi*justfab.com 866-3370906 Ca","39.95","debit","Clothing","Cassie's Reward Card","",""
"6/07/2019","Paparazzi Llc 855-697-2727 Ut","Paparazzi Llc 855-697-2727 Ut","30.75","debit","Misc Expenses","Cassie's Reward Card","",""
"6/06/2019","Paparazzi Llc 855-697-2727 Ut","Paparazzi Llc 855-697-2727 Ut","118.18","debit","Misc Expenses","Cassie's Reward Card","",""
"6/06/2019","Murphy Express","Murphy Express 8777 North Las Veg Nv","55.05","debit","Gas & Fuel","Cassie's Reward Card","",""
"6/06/2019","Paparazzi Llc 855-697-2727 Ut","Paparazzi Llc 855-697-2727 Ut","36.40","debit","Misc Expenses","Cassie's Reward Card","",""
"6/05/2019","Square P Ppdl","Square Inc      9424300002190605Square Inc      9424300002190605P2  PPDL*******65050Cassandra H Burton    REF # 019156009781574","35.07","credit","Misc Expenses","Student Checking","",""
"6/05/2019","North Las Vegas","Electronic Withdrawal North Las Vegas","64.50","debit","Utilities","Main Checking","",""
